Rank,Term,Term Freq,Probability,Log(rank),Log(probability)
59,programs,444,0.001900905,4.077537444,-6.265425379
60,processing,440,0.001883779,4.094344562,-6.274475214
61,n,437,0.001870935,4.110873864,-6.281316746
62,use,435,0.001862373,4.127134385,-6.28590391
63,presented,434,0.001858091,4.143134726,-6.288205407
64,given,432,0.001849529,4.158883083,-6.292824353
65,one,420,0.001798153,4.17438727,-6.32099523
66,used,420,0.001798153,4.189654742,-6.32099523
67,memory,407,0.001742496,4.204692619,-6.352436756
68,these,404,0.001729652,4.219507705,-6.359835063
69,has,389,0.001665432,4.234106505,-6.397670597
70,december,377,0.001614056,4.248495242,-6.429004754
71,algorithms,376,0.001609775,4.262679877,-6.431660798
72,at,373,0.001596931,4.276666119,-6.439671521
73,two,369,0.001579806,4.290459441,-6.450453297
74,p,362,0.001549837,4.304065093,-6.469605729
75,set,360,0.001541274,4.317488114,-6.47514591
76,l,359,0.001536993,4.33073334,-6.477927553
77,design,355,0.001519867,4.343805422,-6.489132152
78,been,354,0.001515586,4.356708827,-6.491953028
79,b,348,0.001489898,4.369447852,-6.509047461
80,function,343,0.001468492,4.382026635,-6.523519494
81,some,342,0.00146421,4.394449155,-6.526439204
82,such,342,0.00146421,4.406719247,-6.526439204
83,problems,330,0.001412835,4.418840608,-6.562157287
84,using,328,0.001404272,4.430816799,-6.568236333
85,f,315,0.001348615,4.442651256,-6.608677302
86,discussed,311,0.00133149,4.454347296,-6.621457029
87,i,311,0.00133149,4.465908119,-6.621457029
88,have,310,0.001327208,4.477336814,-6.624677644
89,august,309,0.001322927,4.48863637,-6.627908664
90,k,306,0.001310083,4.49980967,-6.637664839
91,structure,305,0.001305802,4.510859507,-6.640938164
92,june,304,0.00130152,4.521788577,-6.64422224
93,april,302,0.001292958,4.532599493,-6.650822924
94,not,301,0.001288676,4.543294782,-6.654139676
95,july,300,0.001284395,4.553876892,-6.657467466
96,languages,296,0.00126727,4.564348191,-6.670890487
97,methods,289,0.001237301,4.574710979,-6.694823253
98,its,286,0.001224457,4.584967479,-6.70525813
99,model,285,0.001220175,4.59511985,-6.708760761
100,november,278,0.001190206,4.605170186,-6.733628827
101,general,272,0.001164518,4.615120517,-6.755447875
102,functions,272,0.001164518,4.624972813,-6.755447875
103,matrix,272,0.001164518,4.634728988,-6.755447875
104,control,271,0.001160237,4.644390899,-6.75913112
105,new,269,0.001151674,4.65396035,-6.766538561
106,file,268,0.001147393,4.663439094,-6.770262961
107,october,267,0.001143112,4.672828834,-6.774001283
108,each,266,0.00113883,4.682131227,-6.777753632
109,technique,266,0.00113883,4.691347882,-6.777753632
110,t,266,0.00113883,4.700480366,-6.777753632
111,machine,265,0.001134549,4.709530201,-6.781520115
112,list,262,0.001121705,4.718498871,-6.792905437
113,results,261,0.001117424,4.727387819,-6.796729534
114,other,260,0.001113142,4.736198448,-6.80056831
115,also,258,0.00110458,4.744932128,-6.808290356
116,techniques,258,0.00110458,4.753590191,-6.808290356
117,september,252,0.001078892,4.762173935,-6.831820854
118,linear,245,0.001048923,4.770684624,-6.859991731
119,retrieval,244,0.001044641,4.779123493,-6.864081716
120,error,243,0.00104036,4.787491743,-6.868188498
121,solution,243,0.00104036,4.795790546,-6.868188498
122,into,236,0.001010391,4.804021045,-6.897418136
123,shown,233,9.98E-04,4.812184355,-6.910211487
124,more,231,9.89E-04,4.820281566,-6.918832231
125,simulation,230,9.85E-04,4.828313737,-6.923170632
126,all,224,9.59E-04,4.836281907,-6.949603889
127,equations,222,9.50E-04,4.844187086,-6.958572559
128,than,219,9.38E-04,4.852030264,-6.972178211
129,input,218,9.33E-04,4.859812404,-6.976754878
130,search,217,9.29E-04,4.86753445,-6.981352588
131,based,217,9.29E-04,4.875197323,-6.981352588
132,procedure,216,9.25E-04,4.882801923,-6.985971533
133,structures,215,9.20E-04,4.890349128,-6.990611913
134,performance,214,9.16E-04,4.8978398,-6.995273926
135,fortran,213,9.12E-04,4.905274778,-6.999957775
136,between,211,9.03E-04,4.912654886,-7.009391808
137,any,208,8.91E-04,4.919980926,-7.023711861
138,operating,207,8.86E-04,4.927253685,-7.028531148
139,allocation,207,8.86E-04,4.934473933,-7.028531148
140,large,206,8.82E-04,4.941642423,-7.033373772
141,code,201,8.61E-04,4.94875989,-7.057945033
142,implementation,199,8.52E-04,4.955827058,-7.067945116
143,simple,196,8.39E-04,4.96284463,-7.083135282
144,algol,196,8.39E-04,4.9698133,-7.083135282
145,automatic,196,8.39E-04,4.976733742,-7.083135282
146,computing,195,8.35E-04,4.983606622,-7.088250383
147,user,191,8.18E-04,4.990432587,-7.108976513
148,numerical,188,8.05E-04,4.997212274,-7.124807978
149,both,188,8.05E-04,5.003946306,-7.124807978
150,several,186,7.96E-04,5.010635294,-7.135503267
151,procedures,185,7.92E-04,5.017279837,-7.140894116
152,was,183,7.83E-04,5.023880521,-7.151763788
153,order,181,7.75E-04,5.030437921,-7.16275291
154,their,180,7.71E-04,5.036952602,-7.16829309
155,first,179,7.66E-04,5.043425117,-7.173864135
156,process,178,7.62E-04,5.049856007,-7.179466391
157,when,178,7.62E-04,5.056245805,-7.179466391
158,tree,177,7.58E-04,5.062595033,-7.185100208
159,random,177,7.58E-04,5.068904202,-7.185100208
160,level,177,7.58E-04,5.075173815,-7.185100208
161,compiler,175,7.49E-04,5.081404365,-7.196463967
162,decision,175,7.49E-04,5.087596335,-7.196463967
163,only,174,7.45E-04,5.093750201,-7.202194642
164,standard,173,7.41E-04,5.099866428,-7.207958347
165,sharing,173,7.41E-04,5.105945474,-7.207958347
166,computers,173,7.41E-04,5.111987788,-7.207958347
167,many,172,7.36E-04,5.117993812,-7.213755464
168,developed,170,7.28E-04,5.123963979,-7.225451504
169,but,167,7.15E-04,5.129898715,-7.243256129
170,proposed,167,7.15E-04,5.135798437,-7.243256129
171,point,164,7.02E-04,5.141663557,-7.261383513
172,scheduling,162,6.94E-04,5.147494477,-7.273653606
173,efficient,159,6.81E-04,5.153291594,-7.292345739
174,arithmetic,158,6.76E-04,5.159055299,-7.298654908
175,space,157,6.72E-04,5.164785974,-7.305004136
176,real,157,6.72E-04,5.170483995,-7.305004136
177,integration,156,6.68E-04,5.176149733,-7.311393934
178,digital,154,6.59E-04,5.18178355,-7.324297339
179,evaluation,153,6.55E-04,5.187385806,-7.33081202
180,binary,153,6.55E-04,5.192956851,-7.33081202
181,operations,153,6.55E-04,5.198497031,-7.33081202
182,certain,152,6.51E-04,5.204006687,-7.33736942
183,will,151,6.46E-04,5.209486153,-7.343970104
184,output,151,6.46E-04,5.214935758,-7.343970104
185,table,150,6.42E-04,5.220355825,-7.350614647
186,distribution,149,6.38E-04,5.225746674,-7.357303635
187,management,149,6.38E-04,5.231108617,-7.357303635
188,computation,149,6.38E-04,5.236441963,-7.357303635
189,most,148,6.34E-04,5.241747015,-7.364037667
190,complex,148,6.34E-04,5.247024072,-7.364037667
191,form,148,6.34E-04,5.252273428,-7.364037667
192,line,147,6.29E-04,5.257495372,-7.370817354
193,parallel,147,6.29E-04,5.262690189,-7.370817354
194,three,146,6.25E-04,5.267858159,-7.377643319
195,network,144,6.17E-04,5.272999559,-7.391436641
196,tables,144,6.17E-04,5.278114659,-7.391436641
197,application,144,6.17E-04,5.283203729,-7.391436641
198,well,143,6.12E-04,5.288267031,-7.398405311
199,then,141,6.04E-04,5.293304825,-7.412490051
200,variables,141,6.04E-04,5.298317367,-7.412490051
201,optimal,140,5.99E-04,5.303304908,-7.419607518
202,software,139,5.95E-04,5.308267697,-7.426776008
203,science,139,5.95E-04,5.313205979,-7.426776008
204,made,138,5.91E-04,5.318119994,-7.433996256
205,required,137,5.87E-04,5.323009979,-7.441269015
206,applications,136,5.82E-04,5.327876169,-7.448595055
207,sorting,135,5.78E-04,5.332718793,-7.455975163
208,if,135,5.78E-04,5.33753808,-7.455975163
209,basic,132,5.65E-04,5.342334252,-7.478448018
210,possible,132,5.65E-04,5.347107531,-7.478448018
211,display,131,5.61E-04,5.351858133,-7.486052618
212,processes,131,5.61E-04,5.356586275,-7.486052618
213,approach,130,5.57E-04,5.361292166,-7.493715491
214,graph,130,5.57E-04,5.365976015,-7.493715491
215,representation,129,5.52E-04,5.370638028,-7.501437537
216,organization,128,5.48E-04,5.375278408,-7.509219677
217,jr,128,5.48E-04,5.379897354,-7.509219677
218,x,128,5.48E-04,5.384495063,-7.509219677
219,o,128,5.48E-04,5.38907173,-7.509219677
220,over,127,5.44E-04,5.393627546,-7.517062855
221,series,127,5.44E-04,5.398162702,-7.517062855
222,trees,127,5.44E-04,5.402677382,-7.517062855
223,theory,126,5.39E-04,5.407171771,-7.524968034
224,access,125,5.35E-04,5.411646052,-7.532936204
225,values,125,5.35E-04,5.416100402,-7.532936204
226,dh,125,5.35E-04,5.420534999,-7.532936204
227,various,125,5.35E-04,5.424950017,-7.532936204
228,development,124,5.31E-04,5.429345629,-7.540968375
229,scheme,123,5.27E-04,5.433722004,-7.549065586
230,cost,123,5.27E-04,5.438079309,-7.549065586
231,execution,122,5.22E-04,5.442417711,-7.557228896
232,free,122,5.22E-04,5.446737372,-7.557228896
233,particular,121,5.18E-04,5.451038454,-7.565459395
234,size,121,5.18E-04,5.455321115,-7.565459395
235,purpose,121,5.18E-04,5.459585514,-7.565459395
236,manipulation,121,5.18E-04,5.463831805,-7.565459395
237,ibm,120,5.14E-04,5.468060141,-7.573758198
238,considered,120,5.14E-04,5.472270674,-7.573758198
239,paging,119,5.09E-04,5.476463552,-7.582126448
240,context,119,5.09E-04,5.480638923,-7.582126448
241,polynomial,119,5.09E-04,5.484796933,-7.582126448
242,generation,118,5.05E-04,5.488937726,-7.590565317
243,were,118,5.05E-04,5.493061443,-7.590565317
244,test,118,5.05E-04,5.497168225,-7.590565317
245,matrices,117,5.01E-04,5.501258211,-7.599076006
246,dynamic,117,5.01E-04,5.505331536,-7.599076006
247,value,117,5.01E-04,5.509388337,-7.599076006
248,examples,116,4.97E-04,5.513428746,-7.60765975
249,syntax,116,4.97E-04,5.517452896,-7.60765975
250,errors,115,4.92E-04,5.521460918,-7.616317813
251,how,115,4.92E-04,5.525452939,-7.616317813
252,rules,115,4.92E-04,5.529429088,-7.616317813
253,pattern,114,4.88E-04,5.533389489,-7.625051493
254,processor,114,4.88E-04,5.537334267,-7.625051493
255,key,112,4.80E-04,5.541263545,-7.64275107
256,type,112,4.80E-04,5.545177444,-7.64275107
257,small,111,4.75E-04,5.549076085,-7.65171974
258,case,110,4.71E-04,5.552959585,-7.660769575
259,terms,110,4.71E-04,5.556828062,-7.660769575
260,numbers,110,4.71E-04,5.560681631,-7.660769575
261,high,109,4.67E-04,5.564520407,-7.669902059
262,text,108,4.62E-04,5.568344504,-7.679118714
263,grammar,107,4.58E-04,5.572154032,-7.688421107
264,multiprogramming,107,4.58E-04,5.575949103,-7.688421107
265,under,107,4.58E-04,5.579729826,-7.688421107
266,where,106,4.54E-04,5.583496309,-7.697810847
267,models,106,4.54E-04,5.587248658,-7.697810847
268,applied,106,4.54E-04,5.590986981,-7.697810847
269,special,106,4.54E-04,5.59471138,-7.697810847
270,defined,106,4.54E-04,5.598421959,-7.697810847
271,v,106,4.54E-04,5.602118821,-7.697810847
272,part,105,4.50E-04,5.605802066,-7.707289591
273,expressions,105,4.50E-04,5.609471795,-7.707289591
274,very,104,4.45E-04,5.613128106,-7.716859042
275,different,104,4.45E-04,5.616771098,-7.716859042
276,types,103,4.41E-04,5.620400866,-7.726520953
277,features,103,4.41E-04,5.624017506,-7.726520953
278,quadrature,103,4.41E-04,5.627621114,-7.726520953
279,mathematical,102,4.37E-04,5.631211782,-7.736277128
280,class,102,4.37E-04,5.634789603,-7.736277128
281,they,102,4.37E-04,5.638354669,-7.736277128
282,study,102,4.37E-04,5.641907071,-7.736277128
283,optimization,101,4.32E-04,5.645446898,-7.746129424
284,hardware,101,4.32E-04,5.648974238,-7.746129424
285,differential,101,4.32E-04,5.65248918,-7.746129424
286,communication,101,4.32E-04,5.655991811,-7.746129424
287,approximation,101,4.32E-04,5.659482216,-7.746129424
288,conditions,100,4.28E-04,5.66296048,-7.756079755
289,means,100,4.28E-04,5.666426688,-7.756079755
290,through,99,4.24E-04,5.669880923,-7.766130091
291,computational,99,4.24E-04,5.673323267,-7.766130091
292,research,98,4.20E-04,5.676753802,-7.776282462
293,example,98,4.20E-04,5.680172609,-7.776282462
294,searching,98,4.20E-04,5.683579767,-7.776282462
295,length,98,4.20E-04,5.686975356,-7.776282462
296,description,97,4.15E-04,5.690359454,-7.786538963
297,must,97,4.15E-04,5.693732139,-7.786538963
298,obtained,97,4.15E-04,5.697093487,-7.786538963
299,no,97,4.15E-04,5.700443573,-7.786538963
300,virtual,97,4.15E-04,5.703782475,-7.786538963
301,multiple,97,4.15E-04,5.707110265,-7.786538963
302,describes,96,4.11E-04,5.710427017,-7.79690175
303,statements,96,4.11E-04,5.713732806,-7.79690175
304,equation,96,4.11E-04,5.717027701,-7.79690175
305,so,96,4.11E-04,5.720311777,-7.79690175
306,properties,96,4.11E-04,5.723585102,-7.79690175
307,within,95,4.07E-04,5.726847748,-7.807373049
308,variable,95,4.07E-04,5.730099783,-7.807373049
309,designed,94,4.02E-04,5.733341277,-7.817955159
310,string,94,4.02E-04,5.736572297,-7.817955159
311,work,94,4.02E-04,5.739792912,-7.817955159
312,formal,94,4.02E-04,5.743003188,-7.817955159
313,there,93,3.98E-04,5.746203191,-7.828650448
314,networks,93,3.98E-04,5.749392986,-7.828650448
315,available,93,3.98E-04,5.752572639,-7.828650448
316,least,93,3.98E-04,5.755742214,-7.828650448
317,interactive,92,3.94E-04,5.758901774,-7.839461364
318,education,92,3.94E-04,5.762051383,-7.839461364
319,grammars,92,3.94E-04,5.765191103,-7.839461364
320,efficiency,91,3.90E-04,5.768320996,-7.850390435
321,characteristics,91,3.90E-04,5.771441123,-7.850390435
322,base,91,3.90E-04,5.774551546,-7.850390435
323,character,90,3.85E-04,5.777652323,-7.861440271
324,present,90,3.85E-04,5.780743516,-7.861440271
325,files,89,3.81E-04,5.783825182,-7.872613571
326,comparison,89,3.81E-04,5.786897381,-7.872613571
327,those,89,3.81E-04,5.789960171,-7.872613571
328,second,89,3.81E-04,5.793013608,-7.872613571
329,common,88,3.77E-04,5.796057751,-7.883913127
330,implemented,87,3.72E-04,5.799092654,-7.895341822
331,requirements,87,3.72E-04,5.802118375,-7.895341822
332,report,87,3.72E-04,5.805134969,-7.895341822
333,fast,87,3.72E-04,5.80814249,-7.895341822
334,without,87,3.72E-04,5.811140993,-7.895341822
335,we,87,3.72E-04,5.814130532,-7.895341822
336,natural,86,3.68E-04,5.81711116,-7.906902645
337,written,86,3.68E-04,5.82008293,-7.906902645
338,important,86,3.68E-04,5.823045895,-7.906902645
339,called,86,3.68E-04,5.826000107,-7.906902645
340,flow,86,3.68E-04,5.828945618,-7.906902645
341,provides,86,3.68E-04,5.831882477,-7.906902645
342,integral,85,3.64E-04,5.834810737,-7.918598685
343,provide,85,3.64E-04,5.837730447,-7.918598685
344,polynomials,85,3.64E-04,5.840641657,-7.918598685
345,environment,85,3.64E-04,5.843544417,-7.918598685
346,known,85,3.64E-04,5.846438775,-7.918598685
347,normal,84,3.60E-04,5.84932478,-7.930433142
348,parsing,84,3.60E-04,5.85220248,-7.930433142
349,definition,83,3.55E-04,5.855071922,-7.942409333
350,operation,83,3.55E-04,5.857933154,-7.942409333
351,working,83,3.55E-04,5.860786223,-7.942409333
352,algebraic,83,3.55E-04,5.863631176,-7.942409333
353,strings,83,3.55E-04,5.866468057,-7.942409333
354,rule,83,3.55E-04,5.869296913,-7.942409333
355,generator,83,3.55E-04,5.872117789,-7.942409333
356,state,83,3.55E-04,5.874930731,-7.942409333
357,fourier,82,3.51E-04,5.877735782,-7.954530694
358,out,82,3.51E-04,5.880532986,-7.954530694
359,single,82,3.51E-04,5.883322388,-7.954530694
360,way,82,3.51E-04,5.886104031,-7.954530694
361,users,82,3.51E-04,5.888877958,-7.954530694
362,same,82,3.51E-04,5.891644212,-7.954530694
363,practical,81,3.47E-04,5.894402834,-7.966800786
364,compared,81,3.47E-04,5.897153868,-7.966800786
365,reference,81,3.47E-04,5.899897354,-7.966800786
366,independent,81,3.47E-04,5.902633333,-7.966800786
367,note,81,3.47E-04,5.905361848,-7.966800786
368,graphics,80,3.43E-04,5.908082938,-7.979223306
369,recognition,80,3.43E-04,5.910796644,-7.979223306
370,transformation,80,3.43E-04,5.913503006,-7.979223306
371,up,80,3.43E-04,5.916202063,-7.979223306
372,speed,80,3.43E-04,5.918893854,-7.979223306
373,experimental,79,3.38E-04,5.92157842,-7.991802089
374,complexity,79,3.38E-04,5.924255797,-7.991802089
375,about,79,3.38E-04,5.926926026,-7.991802089
376,oriented,79,3.38E-04,5.929589143,-7.991802089
377,points,79,3.38E-04,5.932245187,-7.991802089
378,generating,78,3.34E-04,5.934894196,-8.004541114
379,uses,78,3.34E-04,5.937536205,-8.004541114
380,sequence,78,3.34E-04,5.940171253,-8.004541114
381,parameters,78,3.34E-04,5.942799375,-8.004541114
382,sets,78,3.34E-04,5.945420609,-8.004541114
383,minimum,77,3.30E-04,5.948034989,-8.017444519
384,coding,77,3.30E-04,5.950642553,-8.017444519
385,behavior,77,3.30E-04,5.953243334,-8.017444519
386,necessary,77,3.30E-04,5.955837369,-8.017444519
387,cobol,77,3.30E-04,5.958424693,-8.017444519
388,dimensional,77,3.30E-04,5.96100534,-8.017444519
389,instruction,76,3.25E-04,5.963579344,-8.030516601
390,page,76,3.25E-04,5.966146739,-8.030516601
391,conversion,75,3.21E-04,5.96870756,-8.043761828
392,collection,75,3.21E-04,5.97126184,-8.043761828
393,complete,75,3.21E-04,5.973809612,-8.043761828
394,structured,75,3.21E-04,5.976350909,-8.043761828
395,allows,73,3.13E-04,5.978885765,-8.0707905
396,presents,73,3.13E-04,5.981414211,-8.0707905
397,symbolic,73,3.13E-04,5.983936281,-8.0707905
398,extension,73,3.13E-04,5.986452005,-8.0707905
399,concept,73,3.13E-04,5.988961417,-8.0707905
400,fixed,72,3.08E-04,5.991464547,-8.084583822
401,best,72,3.08E-04,5.993961427,-8.084583822
402,main,72,3.08E-04,5.996452089,-8.084583822
403,requires,72,3.08E-04,5.998936562,-8.084583822
404,solving,71,3.04E-04,6.001414878,-8.098570064
405,tape,71,3.04E-04,6.003887067,-8.098570064
406,resource,71,3.04E-04,6.00635316,-8.098570064
407,source,71,3.04E-04,6.008813185,-8.098570064
408,recursive,71,3.04E-04,6.011267174,-8.098570064
409,disk,71,3.04E-04,6.013715156,-8.098570064
410,do,71,3.04E-04,6.01615716,-8.098570064
411,compilers,71,3.04E-04,6.018593214,-8.098570064
412,derived,71,3.04E-04,6.021023349,-8.098570064
413,useful,71,3.04E-04,6.023447593,-8.098570064
414,experiments,71,3.04E-04,6.025865974,-8.098570064
415,similar,70,3.00E-04,6.02827852,-8.112754699
416,construction,70,3.00E-04,6.03068526,-8.112754699
417,found,70,3.00E-04,6.033086222,-8.112754699
418,bit,69,2.95E-04,6.035481433,-8.127143436
419,correctness,69,2.95E-04,6.03787092,-8.127143436
420,lisp,69,2.95E-04,6.040254711,-8.127143436
421,direct,69,2.95E-04,6.042632834,-8.127143436
422,syntactic,69,2.95E-04,6.045005314,-8.127143436
423,words,69,2.95E-04,6.047372179,-8.127143436
424,significant,69,2.95E-04,6.049733455,-8.127143436
425,area,69,2.95E-04,6.052089169,-8.127143436
426,proof,69,2.95E-04,6.054439346,-8.127143436
427,need,69,2.95E-04,6.056784013,-8.127143436
428,logical,69,2.95E-04,6.059123196,-8.127143436
429,curve,69,2.95E-04,6.061456919,-8.127143436
430,hash,69,2.95E-04,6.063785209,-8.127143436
431,y,69,2.95E-04,6.06610809,-8.127143436
432,finite,68,2.91E-04,6.068425588,-8.141742236
433,associated,68,2.91E-04,6.070737728,-8.141742236
434,translation,68,2.91E-04,6.073044534,-8.141742236
435,programmer,68,2.91E-04,6.075346031,-8.141742236
436,average,68,2.91E-04,6.077642243,-8.141742236
437,statistical,67,2.87E-04,6.079933195,-8.156557322
438,word,67,2.87E-04,6.08221891,-8.156557322
439,being,67,2.87E-04,6.084499413,-8.156557322
440,store,66,2.83E-04,6.086774727,-8.171595199
441,debugging,66,2.83E-04,6.089044875,-8.171595199
442,object,66,2.83E-04,6.091309882,-8.171595199
443,provided,66,2.83E-04,6.09356977,-8.171595199
444,elements,65,2.78E-04,6.095824562,-8.186862671
445,however,65,2.78E-04,6.098074282,-8.186862671
446,calculation,65,2.78E-04,6.100318952,-8.186862671
447,basis,65,2.78E-04,6.102558595,-8.186862671
448,specification,65,2.78E-04,6.104793232,-8.186862671
449,fit,65,2.78E-04,6.107022888,-8.186862671
450,protection,65,2.78E-04,6.109247583,-8.186862671
451,block,65,2.78E-04,6.11146734,-8.186862671
452,coefficients,64,2.74E-04,6.11368218,-8.202366858
453,array,64,2.74E-04,6.115892125,-8.202366858
454,during,64,2.74E-04,6.118097198,-8.202366858
455,since,64,2.74E-04,6.120297419,-8.202366858
456,solutions,64,2.74E-04,6.12249281,-8.202366858
457,processors,64,2.74E-04,6.124683391,-8.202366858
458,precision,64,2.74E-04,6.126869184,-8.202366858
459,finding,64,2.74E-04,6.12905021,-8.202366858
460,here,64,2.74E-04,6.131226489,-8.202366858
461,addressing,64,2.74E-04,6.133398043,-8.202366858
462,included,64,2.74E-04,6.135564891,-8.202366858
463,squares,64,2.74E-04,6.137727054,-8.202366858
464,surface,63,2.70E-04,6.139884552,-8.218115215
465,database,63,2.70E-04,6.142037406,-8.218115215
466,event,63,2.70E-04,6.144185634,-8.218115215
467,major,63,2.70E-04,6.146329258,-8.218115215
468,core,63,2.70E-04,6.148468296,-8.218115215
469,university,63,2.70E-04,6.150602768,-8.218115215
470,security,63,2.70E-04,6.152732695,-8.218115215
471,addition,63,2.70E-04,6.154858094,-8.218115215
472,floating,62,2.65E-04,6.156978986,-8.234115556
473,machines,62,2.65E-04,6.159095388,-8.234115556
474,logic,62,2.65E-04,6.161207322,-8.234115556
475,should,62,2.65E-04,6.163314804,-8.234115556
476,partial,62,2.65E-04,6.165417854,-8.234115556
477,much,62,2.65E-04,6.167516491,-8.234115556
478,them,62,2.65E-04,6.169610732,-8.234115556
479,precedence,62,2.65E-04,6.171700597,-8.234115556
480,formulas,62,2.65E-04,6.173786104,-8.234115556
481,symmetric,61,2.61E-04,6.17586727,-8.250376077
482,index,61,2.61E-04,6.177944114,-8.250376077
483,statement,61,2.61E-04,6.180016654,-8.250376077
484,record,61,2.61E-04,6.182084907,-8.250376077
485,limited,61,2.61E-04,6.184148891,-8.250376077
486,conventional,61,2.61E-04,6.186208624,-8.250376077
487,concepts,61,2.61E-04,6.188264123,-8.250376077
488,four,61,2.61E-04,6.190315406,-8.250376077
489,further,61,2.61E-04,6.192362489,-8.250376077
490,picture,61,2.61E-04,6.194405391,-8.250376077
491,result,61,2.61E-04,6.196444128,-8.250376077
492,minimal,60,2.57E-04,6.198478716,-8.266905379
493,because,60,2.57E-04,6.200509174,-8.266905379
494,division,60,2.57E-04,6.202535517,-8.266905379
495,address,60,2.57E-04,6.204557763,-8.266905379
496,interpolation,60,2.57E-04,6.206575927,-8.266905379
497,codes,60,2.57E-04,6.208590026,-8.266905379
498,generated,60,2.57E-04,6.210600077,-8.266905379
499,expression,60,2.57E-04,6.212606096,-8.266905379
500,cases,59,2.53E-04,6.214608098,-8.283712497
501,log,59,2.53E-04,6.216606101,-8.283712497
502,characters,59,2.53E-04,6.21860012,-8.283712497
503,garbage,59,2.53E-04,6.22059017,-8.283712497
504,nonlinear,59,2.53E-04,6.222576268,-8.283712497
505,pl,59,2.53E-04,6.224558429,-8.283712497
506,including,59,2.53E-04,6.226536669,-8.283712497
507,z,59,2.53E-04,6.228511004,-8.283712497
508,suggested,58,2.48E-04,6.230481448,-8.300806931
509,image,58,2.48E-04,6.232448017,-8.300806931
510,terminal,58,2.48E-04,6.234410726,-8.300806931
511,rather,58,2.48E-04,6.23636959,-8.300806931
512,sequential,58,2.48E-04,6.238324625,-8.300806931
513,although,58,2.48E-04,6.240275845,-8.300806931
514,square,58,2.48E-04,6.242223265,-8.300806931
515,while,58,2.48E-04,6.244166901,-8.300806931
516,ii,58,2.48E-04,6.246106765,-8.300806931
517,another,58,2.48E-04,6.248042875,-8.300806931
518,exponential,57,2.44E-04,6.249975242,-8.318198673
519,variety,57,2.44E-04,6.251903883,-8.318198673
520,criteria,57,2.44E-04,6.253828812,-8.318198673
521,among,57,2.44E-04,6.255750042,-8.318198673
522,permutations,57,2.44E-04,6.257667588,-8.318198673
523,lists,57,2.44E-04,6.259581464,-8.318198673
524,field,57,2.44E-04,6.261491684,-8.318198673
